env_hash,solver_hash,status,perf,inst_hash
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,7.6116,d065d395159d19735706e0b5cb823f17
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0321,10253f0a4b37654146aaf73a9fbbd929
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,14.841,231be1a0ebcd7547804271515a257e93
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,5.5498,055f942145df4b6c9fd0d10a3f1da98e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,23.0506,6f7a0e1cf94b6b26eafc08a827a692ce
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,57.7244,622787535593269d5e9a1dc4fe01c4af
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2.3616,0e78e16264efc451d89678ca7728ef09
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,2.7712,f5f1d6a47ed7449a18d872a3f93d8aa5
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,3.5011,b51583e32432c5778c7e3e996c3bfeba
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,90.6658,075ca0a158690a55b7254d9aaee2e103
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,94.5917,83b330c934d6dd35d56e1b1ca3638b3c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,104.732,5457c05649be6f3bc4f743c5e6086a18
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,137.353,7adc1ade3384505af00ff8f7be23f5bd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.1933,ca14adcb9296a7b31d7815c2ed16d0f1
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,139.712,c73edc350cfa8e07af58db50054aea45
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,181.033,d0fe6bf914469ca51675bac9078a2c0b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,180.506,fee70cede2b5b55bfbdb6e48fbe7ce4f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,61.6988,10faafc5aaf72ba900b723ba97500c74
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,250.392,7d2199baf2526263b5f753d290d2790b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,71.4756,fdfd5975c57d7cd2264ef6aff6cb4815
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.0675,0033baadbd48d3f880e9b5a733bd4950
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.6553,04d2cca932a87b98ebfc7bbd0fe6ed5d
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,390.935,278aa933fdef642f33fb02a2b18717c1
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,9.3246,144799298ab4d0bb0506753fc4783b76
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.2387,257b1331c202be554abdec123a86213b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,393.301,26254890fa7107f85242ec9190da2a7a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,129.246,907e7dc703e16ad2c7e56a33fe3b3e5f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,26.6696,b2145c28dbed385329ea73a06d9c519a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,269.388,1b72d2cd3e978b7ad976b6f1d2174dd4
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,94.2055,95c00d0ae51d5d0a2a931ce82b77701f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,619.447,7e5396d6b00b82c2fc0ea1d7c6505afd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,103.125,3ed56242f55e3653dbceeb4a70221787
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,759.269,6bb485770dbc3943ea84933a03131958
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0826,269d92aef52c2d8c729f4212bd29a8e8
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,8.1376,fe96b630b3e761821308b544368dd521
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,64.9307,c21cea390a50204944aa00babd56b53c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,945.876,e38601380bfbab35dd8c5927283533fb
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,147.417,12d8567ccb0e051cd35cb6a1cd21cd5d
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,569.298,115fa7f61704bc12b2373aa471bc434f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1090.79,261e338938f4757e91f0cf753484d662
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,21.6232,1427381a809c64c721838894ece6756d
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,58.21,558ce551d2b933b7a5f1c7d2a6044930
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1583.63,254379ba985f92132932ecfbeffc9b54
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1654.71,8bf63d50ebdb645b75a24370b8f94d31
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,199.512,8c8b72ac19c0f93813b614a18abaf512
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1728.17,20d8c1d58d1043a6737db9457666a0fc
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,54.9009,70289686a242c8380ca26bda45ad1278
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,254.887,08c21a3bc091abcb67b883061e2381c9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2.1802,226997c047218abf49500ef77facfe9a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,515.307,361290e60ab2a8ea9dccfcff65bf0778
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2438.29,3d449de3d6e722c9ce4a38ec748ee3cf
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,2644.13,78a0e76b68b536e2ea7d801fc6061cd2
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,2512.34,1113541da043983ac674e70d62f3aab6
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,120.4,9811b95bfd5888014d27e6dd384ff502
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,117.75,1a3400dc32a3859afb20566a4ded9606
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,30.2916,0d81711a3d73c828e8c6e12607eda82d
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.3931,92d6795785d35d1dcc42b15dc0e933d0
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,98.2592,25d6ed813eedc68cd84750ce67463f62
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,854.293,0ae917c2e0c1d39cbe411c29b2f5ff08
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.09,0d886285bf78d66222e878a7b85f7f37
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.1,1a3bef9e03bab1ed4e9e34506d72a451
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.02,4d2f74ef97b6d40ebd71f85dcb75c543
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.08,1585509d20e96dca337559f71da9d9f1
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.06,0d69ebe07952e551d249d8b9c9e87c08
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0154,14e21c70a36bbf25a525d835ceab52da
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,10.9113,65138afdf7eb054be5131f2b0de84369
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,29.9455,117e5ce2f2189661c2d693df1593969e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,46.1682,f50eaf02a8041510b64104998cc81d2f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0367,17984e46b3a82eec5fc5954f434f5b55
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,2.6068,52aaf653a79ca14fa1127cda32aa94ce
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,96.8273,11d707af1f8831a041a036f1aa3c8d2c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0086,23a92c04ee9248308a18d6a44e5d15f0
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.3285,431bfb466be51ecd86b321b5cbce6d3c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,124.532,24075575c3dbd9e9eae948dd2241b029
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,11.8784,da43a3ef0ef5d34143e765d480dedc7a
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,98.5493,45faf223af97fe9177daa3ad4002cf2f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,3.1028,1ea68d0008f01c50a1e4fec77dd0775e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.0167,27b4fe4cb0b4e2fd8327209ca5ff352c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,33.5504,2563a9a0463e58e8a5823bc612cacbc9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.04,e5f5dbace0183455d167a88100312c34
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,666.198,bab57c8799cb05c8c1757c60d4ebdefd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,960.326,090f37bba39891c7cf3bed2ace26ca92
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,18.2057,0c73ba1c522d042dc9d2688f5896650c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,622.175,11f7856b53db9263e48e81a61b0573fd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,500.813,573cc82ec61e01fd6e6308493ee56289
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,401.776,94571e8a1081385029d1ecd53ffcdf8e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.03,b3840e295097a13e6697fff6be813eeb
